Construct,Color_max,Peak_max,Peak_max_std,Std_state_max,Std_state_max_std,Kinetics,Kinetics_std,Peak_green_ratio,Std_state_green_ratio,n_max,Peak_red,Peak_red_std,Std_state_red,Std_state_red_std,n_red,Peak_green,Peak_green_std,Std_state_green,Std_state_green_std,n_green,Peak_cyan,Peak_cyan_std,Std_state_cyan,Std_state_cyan_std,n_cyan,ss_red,ss_red_std,ss_green,ss_green_std,ss_teal,ss_teal_std,ss_cyan,ss_cyan_std,ss_blue,ss_blue_std,ss_violet,ss_violet_std
n64,VC_green,-62.9350328445,19.7563328246,-51.9692802429,18.3547250019,56.05,14.3983506,1.0,1.0,4,-28.34658432,5.72299512571,-12.8853120804,3.35621114711,4,-62.9350328445,19.7563328246,-51.9692802429,18.3547250019,4,-39.5353206635,12.0405984202,-29.920211792,11.5729237697,5,0.15405392735,0.0,0.661797635145,0.0,0.372582983301,0.0,0.504772997238,0.0,0.269968230755,0.0,0.192877430259,0.0
n57,VC_cyan,-38.473153201,17.9817801297,-28.3337161324,18.3095516118,2207.85454545,1773.53029518,0.799443412536,0.761572553265,11,-14.1268577576,2.99934645321,-5.30034770966,2.66613597109,5,-25.6675459147,11.7282911382,-16.2114616632,11.3637590214,8,-38.473153201,17.9817801297,-28.3337161324,18.3095516118,11,0.208272667273,0.117174348813,0.643599309863,0.293652964233,0.545059298425,0.388206360989,0.845092574704,0.107298682649,0.292281684316,0.308237533142,0.179947240749,0.394773177086
c67,VC_cyan,-50.4019039699,23.8051521941,-37.8966418675,23.5102174441,74.4857142857,49.0937711665,0.839982354738,0.797349707235,7,-16.3956771851,4.76163555143,-6.09978637695,3.98195121022,5,-33.5797858919,22.4130659632,-21.0880835397,22.3907925489,7,-50.4019039699,23.8051521941,-37.8966418675,23.5102174441,7,0.156459984957,0.0654387522385,0.729598545598,0.234393747776,0.697821657794,0.106946016868,0.91502955225,0.127417924359,0.679432195113,0.115282757612,0.479954959035,0.119042273264
n60,VC_green,-291.296533203,139.145949947,-271.124139405,132.354454511,50.02,5.86767415592,1.0,1.0,5,-170.536938477,73.1910226402,-152.063568115,67.5863857477,5,-291.296533203,139.145949947,-271.124139405,132.354454511,5,-165.247138977,59.7707666242,-151.194740296,54.040557313,4,0.606768605273,0.0837995105343,1.0,0.0,0.525250404418,0.177610498207,0.570852860329,0.202036007784,0.434796021895,0.0860507454024,0.29541137405,0.08292099825
n18,VC_cyan,-135.725049973,57.2119828281,-125.05365181,56.4879272027,5125.875,931.070505856,0.387445349454,0.233641744277,4,-12.0602073669,2.99807991476,-1.33607991537,3.95932271266,3,-37.8279304504,26.5687241547,-28.1333122253,25.7574437971,4,-135.725049973,57.2119828281,-125.05365181,56.4879272027,4,0.0929942382801,0.0,0.233641744277,0.0,0.0703529337455,0.0,1.0,0.0,0.289029664445,0.0,0.0500505214766,0.0
n43,VC_cyan,-92.8698323567,44.1684620324,-49.2719701131,30.2599029916,8.4,6.0415229868,0.169178445884,0.052613551811,3,-9.39421526592,1.48018887105,-0.0355733235677,0.191052234871,3,-14.0707486471,3.53376353543,-2.3244527181,1.32723856317,3,-92.8698323567,44.1684620324,-49.2719701131,30.2599029916,3,0.00248236799916,0.00669735813638,0.0503432706198,0.0282987754494,0.454262593523,0.0865477195672,0.904246553936,0.135415822068,0.956849877778,0.0309786431242,0.76180647444,0.107625671176
n36,VC_cyan,-469.001032511,338.075218878,-378.412394206,272.082519859,9.16666666667,1.15854314647,0.0716464710439,0.0379787941365,3,-8.54066403706,1.95850330177,0.182439168293,1.70223865593,3,-25.6766637166,7.74113936371,-13.0819714864,7.86426209012,3,-469.001032511,338.075218878,-378.412394206,272.082519859,3,0.0014758883248,0.00819249329568,0.0379787941365,0.00825719994036,0.294388146864,0.130511901039,1.0,0.0,0.716022673148,0.156965271653,0.427371089013,0.145599254582
n1,VC_cyan,-155.045400238,133.365691481,-121.164771271,118.550776061,19.72,14.6074501539,0.124874511659,0.0232932603261,5,-8.14638853073,0.23766756058,-0.255088806152,0.0705032348635,2,-10.579931736,1.77729514015,-1.63697433472,1.15042626682,4,-155.045400238,133.365691481,-121.164771271,118.550776061,5,0.00341997077206,0.000867457727273,0.0232123204312,0.0133535895895,0.386483177843,0.0698110918955,0.996525179651,0.00347482034916,0.900630922481,0.0993690775189,0.573811567032,0.0777998554754
n4,VC_cyan,-960.423461915,298.884598337,-705.219213866,243.220186595,52.12,11.4244299639,0.426636205199,0.517350214358,5,-9.49705648423,1.04254822674,-0.642627716064,0.472061766031,4,-392.096658325,162.542409641,-359.321923828,151.699883996,5,-960.423461915,298.884598337,-705.219213866,243.220186595,5,0.000915894341937,0.000686724151302,0.482582690049,0.111240910088,0.652954917003,0.17346462668,0.932796926832,0.116399137152,0.731817674265,0.159144715356,0.701119008409,0.16066684383
n13,VC_cyan,-14.8926385244,2.31943743582,-4.39190800985,1.29848945604,0.233333333333,0.188561808316,0.69717646051,0.360724478209,3,-9.55519453686,0.858310615935,-0.935281753541,0.642650374411,3,-10.2363999685,0.477986004917,-1.92341248194,0.823744000472,3,-14.8926385244,2.31943743582,-4.39190800985,1.29848945604,3,0.167292923602,0.0900290326017,0.360724478209,0.0913283939781,0.482890260843,0.324210245058,0.842615437527,0.120532972722,1.0,0.0,0.579494736004,0.135934164759
